Survived,Age,Fare,Pclass_1,Pclass_2,Pclass_3,Embarked_1,Embarked_2,Embarked_3,Age_Male,Age_Female,Sex_Male,Sex_Female
1,3,31.39,0,0,1,1,0,0,0,1,1,0
0,52,79.65,1,0,0,1,0,0,0,1,1,0
0,40,0.0,1,0,0,1,0,0,0,1,1,0
0,28,7.75,0,0,1,0,0,1,0,1,0,1
0,36,10.5,0,1,0,1,0,0,0,1,1,0
0,16,39.69,0,0,1,1,0,0,0,1,1,0
1,25,7.78,0,0,1,1,0,0,0,1,1,0
1,58,153.46,1,0,0,1,0,0,0,1,0,1
1,35,135.63,1,0,0,1,0,0,0,1,0,1
0,28,31.0,1,0,0,1,0,0,0,1,1,0
1,25,0.0,0,0,1,1,0,0,0,1,1,0
1,41,19.5,0,1,0,1,0,0,0,1,0,1
0,37,29.7,1,0,0,0,1,0,0,1,1,0
1,28,7.75,0,0,1,0,0,1,0,1,0,1
1,63,77.96,1,0,0,1,0,0,0,1,0,1
0,45,7.75,0,0,1,1,0,0,0,1,0,1
0,28,0.0,0,1,0,1,0,0,0,1,1,0
0,7,29.12,0,0,1,0,0,1,0,1,1,0
1,35,20.25,0,0,1,1,0,0,0,1,0,1
0,65,7.75,0,0,1,0,0,1,0,1,1,0
0,28,7.85,0,0,1,1,0,0,0,1,1,0
0,16,9.5,0,0,1,1,0,0,0,1,1,0
1,19,8.05,0,0,1,1,0,0,0,1,1,0
0,28,26.0,1,0,0,1,0,0,0,1,1,0
0,33,8.66,0,0,1,0,1,0,0,1,1,0
1,30,9.5,0,0,1,1,0,0,0,1,1,0
0,22,7.9,0,0,1,1,0,0,0,1,1,0
1,42,13.0,0,1,0,1,0,0,0,1,1,0
1,22,7.75,0,0,1,0,0,1,0,1,0,1
1,26,78.85,1,0,0,1,0,0,0,1,0,1
1,19,91.08,1,0,0,0,1,0,0,1,0,1
0,36,12.88,0,1,0,0,1,0,0,1,1,0
0,24,8.85,0,0,1,1,0,0,0,1,0,1
0,24,7.9,0,0,1,1,0,0,0,1,1,0
0,28,27.72,1,0,0,0,1,0,0,1,1,0
0,24,7.23,0,0,1,0,1,0,0,1,1,0
0,2,151.55,1,0,0,1,0,0,0,1,0,1
1,28,30.5,1,0,0,1,0,0,0,1,1,0
1,50,247.52,1,0,0,0,1,0,0,1,0,1
1,28,7.75,0,0,1,0,0,1,0,1,0,1
1,28,23.25,0,0,1,0,0,1,0,1,1,0
0,19,0.0,0,0,1,1,0,0,0,1,1,0
1,28,12.35,0,1,0,0,0,1,0,1,0,1
0,28,8.05,0,0,1,1,0,0,0,1,1,0
1,1,151.55,1,0,0,1,0,0,0,1,1,0
1,28,110.88,1,0,0,0,1,0,0,1,0,1
1,17,108.9,1,0,0,0,1,0,0,1,0,1
0,30,24.0,0,1,0,0,1,0,0,1,1,0
1,30,56.93,1,0,0,0,1,0,0,1,0,1
1,24,83.16,1,0,0,0,1,0,0,1,0,1
1,18,262.38,1,0,0,0,1,0,0,1,0,1
0,26,26.0,0,1,0,1,0,0,0,1,0,1
0,28,7.9,0,0,1,1,0,0,0,1,1,0
0,43,26.25,0,1,0,1,0,0,0,1,1,0
1,26,7.85,0,0,1,1,0,0,0,1,0,1
1,24,26.0,0,1,0,1,0,0,0,1,0,1
0,54,14.0,0,1,0,1,0,0,0,1,1,0
1,31,164.87,1,0,0,1,0,0,0,1,0,1
1,40,134.5,1,0,0,0,1,0,0,1,0,1
0,22,7.25,0,0,1,1,0,0,0,1,1,0
0,27,7.9,0,0,1,1,0,0,0,1,1,0
1,30,12.35,0,1,0,0,0,1,0,1,0,1
1,22,29.0,0,1,0,1,0,0,0,1,0,1
0,28,69.55,0,0,1,1,0,0,0,1,1,0
1,36,135.63,1,0,0,0,1,0,0,1,0,1
0,61,6.24,0,0,1,1,0,0,0,1,1,0
1,36,13.0,0,1,0,1,0,0,0,1,0,1
1,31,20.52,0,0,1,1,0,0,0,1,0,1
1,16,57.98,1,0,0,0,1,0,0,1,0,1
1,28,23.25,0,0,1,0,0,1,0,1,0,1
0,46,28.5,1,0,0,1,0,0,0,1,1,0
0,38,153.46,1,0,0,1,0,0,0,1,1,0
0,16,18.0,0,0,1,1,0,0,0,1,1,0
1,28,133.65,1,0,0,1,0,0,0,1,0,1
0,28,7.9,0,0,1,1,0,0,0,1,1,0
0,29,66.6,1,0,0,1,0,0,0,1,1,0
1,41,134.5,1,0,0,0,1,0,0,1,0,1
1,45,8.05,0,0,1,1,0,0,0,1,1,0
0,45,35.5,1,0,0,1,0,0,0,1,1,0
1,2,26.0,0,1,0,1,0,0,0,1,1,0
1,24,263.0,1,0,0,1,0,0,0,1,0,1
0,28,13.0,0,1,0,1,0,0,0,1,1,0
0,25,13.0,0,1,0,1,0,0,0,1,1,0
0,36,13.0,0,1,0,1,0,0,0,1,1,0
1,24,13.0,0,1,0,1,0,0,0,1,0,1
1,40,13.0,0,1,0,1,0,0,0,1,0,1
1,28,16.1,0,0,1,1,0,0,0,1,0,1
1,3,15.9,0,0,1,1,0,0,0,1,1,0
0,42,8.66,0,0,1,1,0,0,0,1,1,0
0,23,9.22,0,0,1,1,0,0,0,1,1,0
0,28,35.0,1,0,0,1,0,0,0,1,1,0
0,15,7.23,0,0,1,0,1,0,0,1,1,0
0,25,17.8,0,0,1,1,0,0,0,1,1,0
0,28,7.22,0,0,1,0,1,0,0,1,1,0
0,28,9.5,0,0,1,1,0,0,0,1,1,0
1,22,55.0,1,0,0,1,0,0,0,1,0,1
0,38,13.0,0,1,0,1,0,0,0,1,0,1
1,28,7.88,0,0,1,0,0,1,0,1,0,1
1,28,7.88,0,0,1,0,0,1,0,1,0,1
0,40,27.9,0,0,1,1,0,0,0,1,1,0
0,29,27.72,0,1,0,0,1,0,0,1,1,0
0,45,14.45,0,0,1,0,1,0,0,1,0,1
0,35,7.05,0,0,1,1,0,0,0,1,1,0
0,28,15.5,0,0,1,0,0,1,0,1,1,0
0,30,7.25,0,0,1,1,0,0,0,1,1,0
1,60,75.25,1,0,0,0,1,0,0,1,0,1
1,28,7.23,0,0,1,0,1,0,0,1,0,1
1,28,7.75,0,0,1,0,0,1,0,1,0,1
1,24,69.3,1,0,0,0,1,0,0,1,0,1
1,25,55.44,1,0,0,0,1,0,0,1,1,0
0,18,6.5,0,0,1,1,0,0,0,1,1,0
0,19,8.05,0,0,1,1,0,0,0,1,1,0
0,22,135.63,1,0,0,0,1,0,0,1,1,0
0,3,21.07,0,0,1,1,0,0,0,1,0,1
1,28,82.17,1,0,0,0,1,0,0,1,0,1
1,22,7.25,0,0,1,1,0,0,0,1,0,1
0,27,211.5,1,0,0,0,1,0,0,1,1,0
0,20,4.01,0,0,1,0,1,0,0,1,1,0
0,19,7.78,0,0,1,1,0,0,0,1,1,0
1,42,227.53,1,0,0,0,1,0,0,1,0,1
1,1,15.74,0,0,1,0,1,0,1,1,0,1
0,32,7.92,0,0,1,1,0,0,0,1,1,0
1,35,52.0,1,0,0,1,0,0,0,1,0,1
0,28,7.9,0,0,1,1,0,0,0,1,1,0
0,18,73.5,0,1,0,1,0,0,0,1,1,0
0,1,46.9,0,0,1,1,0,0,1,1,1,0
1,36,13.0,0,1,0,1,0,0,0,1,0,1
0,28,7.73,0,0,1,0,0,1,0,1,1,0
1,17,12.0,0,1,0,0,1,0,0,1,0,1
1,36,120.0,1,0,0,1,0,0,0,1,1,0
1,21,7.8,0,0,1,1,0,0,0,1,1,0
0,28,7.92,0,0,1,1,0,0,0,1,1,0
1,23,113.28,1,0,0,0,1,0,0,1,0,1
1,24,16.7,0,0,1,1,0,0,0,1,0,1
0,22,7.8,0,0,1,1,0,0,0,1,1,0
0,31,7.85,0,0,1,1,0,0,0,1,0,1
0,46,26.0,0,1,0,1,0,0,0,1,1,0
0,23,10.5,0,1,0,1,0,0,0,1,1,0
1,28,12.65,0,1,0,1,0,0,0,1,0,1
1,39,7.92,0,0,1,1,0,0,0,1,1,0
0,26,8.05,0,0,1,1,0,0,0,1,1,0
0,21,9.82,0,0,1,1,0,0,0,1,0,1
0,28,15.85,0,0,1,1,0,0,0,1,1,0
0,20,8.66,0,0,1,1,0,0,0,1,0,1
0,34,21.0,0,1,0,1,0,0,0,1,1,0
0,51,7.75,0,0,1,1,0,0,0,1,1,0
1,3,18.75,0,1,0,1,0,0,0,1,1,0
0,21,7.78,0,0,1,1,0,0,0,1,1,0
0,28,25.47,0,0,1,1,0,0,0,1,0,1
0,28,7.9,0,0,1,1,0,0,0,1,1,0
0,28,6.86,0,0,1,0,0,1,0,1,1,0
1,33,90.0,1,0,0,0,0,1,0,1,0,1
0,28,0.0,0,1,0,1,0,0,0,1,1,0
1,44,7.92,0,0,1,1,0,0,0,1,1,0
0,28,8.05,0,0,1,1,0,0,0,1,0,1
1,34,32.5,0,1,0,1,0,0,0,1,0,1
1,18,13.0,0,1,0,1,0,0,0,1,0,1
0,30,13.0,0,1,0,1,0,0,0,1,1,0
0,10,24.15,0,0,1,1,0,0,0,1,0,1
0,28,7.9,0,0,1,0,1,0,0,1,1,0
0,21,7.73,0,0,1,0,0,1,0,1,1,0
0,29,7.88,0,0,1,1,0,0,0,1,1,0
0,28,14.4,0,0,1,1,0,0,0,1,0,1
0,18,20.21,0,0,1,1,0,0,0,1,1,0
0,28,7.25,0,0,1,1,0,0,0,1,1,0
1,28,26.0,0,1,0,1,0,0,0,1,0,1
1,19,26.0,0,1,0,1,0,0,0,1,0,1
0,28,7.75,0,0,1,0,0,1,0,1,1,0
1,32,8.05,0,0,1,1,0,0,0,1,1,0
1,28,26.55,1,0,0,1,0,0,0,1,1,0
1,28,16.1,0,0,1,1,0,0,0,1,0,1
1,42,26.0,0,1,0,1,0,0,0,1,0,1
0,17,7.12,0,0,1,1,0,0,0,1,1,0
0,50,55.9,1,0,0,1,0,0,0,1,1,0
1,14,120.0,1,0,0,1,0,0,0,1,0,1
0,21,34.38,0,0,1,1,0,0,0,1,0,1
1,24,18.75,0,1,0,1,0,0,0,1,0,1
0,64,263.0,1,0,0,1,0,0,0,1,1,0
0,31,10.5,0,1,0,1,0,0,0,1,1,0
1,45,26.25,0,1,0,1,0,0,0,1,0,1
0,20,9.5,0,0,1,1,0,0,0,1,1,0
0,25,7.78,0,0,1,1,0,0,0,1,1,0
1,28,13.0,0,1,0,1,0,0,0,1,0,1
1,28,8.11,0,0,1,1,0,0,0,1,1,0
1,4,81.86,1,0,0,1,0,0,0,1,1,0
1,13,19.5,0,1,0,1,0,0,0,1,0,1
1,34,26.55,1,0,0,1,0,0,0,1,1,0
1,5,19.26,0,0,1,0,1,0,0,1,0,1
1,52,30.5,1,0,0,1,0,0,0,1,1,0
0,36,27.75,0,1,0,1,0,0,0,1,1,0
0,28,19.97,0,0,1,1,0,0,0,1,1,0
0,30,27.75,1,0,0,0,1,0,0,1,1,0
1,49,89.1,1,0,0,0,1,0,0,1,1,0
0,28,8.05,0,0,1,1,0,0,0,1,1,0
1,29,7.9,0,0,1,0,1,0,0,1,1,0
0,65,26.55,1,0,0,1,0,0,0,1,1,0
1,28,51.86,1,0,0,1,0,0,0,1,0,1
1,50,10.5,0,1,0,1,0,0,0,1,0,1
0,28,7.75,0,0,1,0,0,1,0,1,1,0
1,48,26.55,1,0,0,1,0,0,0,1,1,0
0,34,8.05,0,0,1,1,0,0,0,1,1,0
0,47,38.5,1,0,0,1,0,0,0,1,1,0
0,48,13.0,0,1,0,1,0,0,0,1,1,0
0,28,8.05,0,0,1,1,0,0,0,1,1,0
0,38,7.05,0,0,1,1,0,0,0,1,1,0
0,28,0.0,0,1,0,1,0,0,0,1,1,0
0,56,26.55,1,0,0,1,0,0,0,1,1,0
0,28,7.72,0,0,1,0,0,1,0,1,1,0
1,1,19.26,0,0,1,0,1,0,0,1,0,1
0,28,7.25,0,0,1,1,0,0,0,1,1,0
0,38,8.66,0,0,1,1,0,0,0,1,1,0
1,33,27.75,0,1,0,1,0,0,0,1,0,1
1,23,13.79,0,1,0,0,1,0,0,1,0,1
0,22,9.84,0,0,1,1,0,0,0,1,0,1
0,28,52.0,1,0,0,1,0,0,0,1,1,0
0,34,21.0,0,1,0,1,0,0,0,1,1,0
0,29,7.05,0,0,1,1,0,0,0,1,1,0
0,22,7.52,0,0,1,1,0,0,0,1,1,0
1,2,12.29,0,0,1,1,0,0,0,1,0,1
0,9,46.9,0,0,1,1,0,0,0,1,1,0
0,28,0.0,0,1,0,1,0,0,0,1,1,0
0,50,8.05,0,0,1,1,0,0,0,1,1,0
1,63,9.59,0,0,1,1,0,0,0,1,0,1
1,25,91.08,1,0,0,0,1,0,0,1,1,0
0,28,25.47,0,0,1,1,0,0,0,1,0,1
1,35,90.0,1,0,0,1,0,0,0,1,0,1
0,58,29.7,1,0,0,0,1,0,0,1,1,0
0,30,8.05,0,0,1,1,0,0,0,1,1,0
1,9,15.9,0,0,1,1,0,0,0,1,1,0
0,28,19.97,0,0,1,1,0,0,0,1,1,0
0,21,7.25,0,0,1,1,0,0,0,1,1,0
0,55,30.5,1,0,0,1,0,0,0,1,1,0
0,71,49.5,1,0,0,0,1,0,0,1,1,0
