№ п/п	Дата отклика	Название вакансии	Комания	Ссылка на вакансию	Ответил ли рекрутер, разместивший вакансию	Предложили ли направить резюме	Результат	Причина
51	02.07.2024	Разработчик-исследователь AI / AI Researcher	amoCRM	https://hh.ru/vacancy/101370723?hhtmFrom=favorite_vacancy_list	Нет	Да	Вакансия в архиве	Вакансия перенесена в архив 
52	02.07.2024	Аналитик данных / Data Analyst	ООО Скайтек	https://hh.ru/vacancy/102123398?hhtmFrom=favorite_vacancy_list	Получил автоответ	Да	Отказ	Без объяснения причин
53	02.07.2024	ML-разработчик (LLM)	ARK	https://hh.ru/vacancy/97045244?hhtmFrom=favorite_vacancy_list	Получил автоответ	Да	Отказ	Без объяснения причин
54	02.07.2024	Junior+/Middle ML Engineer	BestDoctor	https://hh.ru/vacancy/102926229?hhtmFrom=vacancy_response		Да	Ожидание	
55	02.07.2024	Аналитик данных для сервиса автоматизированной торговли (Автоследование)	Т-Банк	https://hh.ru/vacancy/101925897?hhtmFrom=favorite_vacancy_list	Получил автоответ	Да	Отказ	Без объяснения причин 
56	02.07.2024	Junior BI аналитик	Сантехника-Онлайн	https://hh.ru/vacancy/102198616?hhtmFrom=favorite_vacancy_list	Получил автоответ	Да	Отказ	Без объяснения причин 
57	02.07.2024	Data Analyst (e-commerce)	МАГНИТ, Розничная сеть	https://hh.ru/vacancy/102922210?hhtmFrom=favorite_vacancy_list		Да	Ожидание	
58	02.07.2024	Специалист по подготовке изображений для задач компьютерного зрения (Data engineer)	ООО ФАЙВДЖЕН	https://hh.ru/vacancy/101503463?hhtmFrom=favorite_vacancy_list	Вакансия в архиве	Да	Вакансия в архиве	Вакансия перенесена в архив
59	02.07.2024	Аналитик-программист (Python)	EMCO	https://hh.ru/vacancy/102770840?hhtmFrom=favorite_vacancy_list		Да	Ожидание	
60	02.07.2024	Младший инженер по данным/Junior Data Engineer (Medical Laboratory Systems)	Gontard & Cie	https://hh.ru/vacancy/101525809?hhtmFrom=favorite_vacancy_list	Получил автоответ	Да	Отказ	Без объяснения причин 
61	03.07.2024	Data Scientist / Дата Cайентист в online кинотеатр KION 2024	ПАО «МТС» КИОН	https://hh.ru/vacancy/102679685?hhtmFrom=favorite_vacancy_list		Да	Ожидание	
62	03.07.2024	Аналитик	metaLead	https://hh.ru/vacancy/98558539?hhtmFrom=favorite_vacancy_list		Да	Ожидание	
63	03.07.2024	AI-тренер / Тренер искусственного интеллекта	ПАО «МТС»	https://hh.ru/vacancy/102778906?hhtmFrom=favorite_vacancy_list		Да	Ожидание	
64	03.07.2024	Junior Data / BI Engineer	ООО PepsiCo	https://hh.ru/vacancy/102919487?hhtmFrom=favorite_vacancy_list		Да	Ожидание	
65	03.07.2024	Аналитик продукта в команду HR продуктов	МАГНИТ, Розничная сеть	https://hh.ru/vacancy/102760484?hhtmFrom=favorite_vacancy_list		Да	Ожидание	
66	03.07.2024	Аналитик (удаленно, розница)	HR-Stalker	https://hh.ru/vacancy/98501149?hhtmFrom=favorite_vacancy_list	Получил автоответ	Да	Отказ	Без объяснения причин 
67	03.07.2024	Data Engineer/Дата инженер (стажер)	Aston	https://hh.ru/vacancy/102686644?hhtmFrom=favorite_vacancy_list	Получил автоответ	Да	Отказ	Без объяснения причин 
68	03.07.2024	NLP Engineer/NLP Data Scientist	ООО ТехЛАБ	https://hh.ru/vacancy/102751440?hhtmFrom=favorite_vacancy_list		Да	Ожидание	
69	03.07.2024	Аналитик фида/Анти-фрод	ООО Софтвайс	https://hh.ru/vacancy/102247386?hhtmFrom=favorite_vacancy_list		Да	Ожидание	
70	03.07.2024	Data Scientist (Recommendations)	Lamoda Tech	https://hh.ru/vacancy/97886873?hhtmFrom=favorite_vacancy_list	Получил автоответ	Да	Отказ	Без объяснения причин 
71	05.07.2024	Junior Quantitative Researcher	ООО Актив Матрикс	https://hh.ru/vacancy/103079830?hhtmFrom=favorite_vacancy_list	Получил автоответ	Да	Отказ	Без объяснения причин 
72	05.07.2024	Помощник аналитика	ООО РУМАТИКА	https://hh.ru/vacancy/102941610?hhtmFrom=favorite_vacancy_list		Да	Ожидание	
73	05.07.2024	Аналитик	AGS	https://hh.ru/vacancy/102850848?hhtmFrom=favorite_vacancy_list		Да	Ожидание	
74	05.07.2024	Product Analyst Core/ Продуктовый Аналитик (Команда развития продукта)	Core Analytics	https://hh.ru/vacancy/102661002?hhtmFrom=favorite_vacancy_list		Да	Ожидание	
75	05.07.2024	Аналитик данных, Маркетплейс, Контент и товары	Ozon Информационные технологии	https://hh.ru/vacancy/102787177?hhtmFrom=favorite_vacancy_list		Да	Ожидание	
76	05.07.2024	Data scientist	S8 Capital	https://hh.ru/vacancy/100739264?hhtmFrom=favorite_vacancy_list		Да	Ожидание	
77	05.07.2024	Data Scientist/Data miner	Интерлизинг	https://hh.ru/vacancy/102792226?hhtmFrom=favorite_vacancy_list		Да	Ожидание	
78	05.07.2024	Data Scientist	Ventra IT Solutions	https://hh.ru/vacancy/102859657?hhtmFrom=favorite_vacancy_list	Получил автоответ	Да	Отказ	Ваш опыт неполностью соответствует требованию вакансии
79	05.07.2024	Аналитик данных (Python)	Правительство Москвы	https://hh.ru/vacancy/98446961?hhtmFrom=favorite_vacancy_list	Да	Да	Приглашение	
80	05.07.2024	Data Engineer/Дата инженер (стажер)	Aston	https://hh.ru/vacancy/102264765?hhtmFrom=favorite_vacancy_list	Получил автоответ	Да	Отказ	Без объяснения причин 
81	09.07.2024	Стажер департамента управления данными	Bayer	https://hh.ru/vacancy/102923918?hhtmFrom=favorite_vacancy_list		Да		
82	09.07.2024	Стажер-аналитик в направление брендинговых продуктов	ООО HeadHunter: Продуктовые аналитики	https://hh.ru/vacancy/102282438?hhtmFrom=favorite_vacancy_list	Вакансия в архиве	Да	Вакансия в архиве	Вакансия перенесена в архив
83	09.07.2024	Data analyst / Аналитик данных	OOO IQnergy	https://hh.ru/vacancy/86081569?hhtmFrom=favorite_vacancy_list		Да		
84	09.07.2024	Аналитик данных	Согласие, страховая компания	https://hh.ru/vacancy/102935293?hhtmFrom=favorite_vacancy_list		Да		
85	09.07.2024	Аналитик данных	Ozon Офис и Коммерция	https://hh.ru/vacancy/102653255?hhtmFrom=favorite_vacancy_list		Да		
86	09.07.2024	Системный аналитик / System Analysis (ученик)	Aston	https://hh.ru/vacancy/102703809?hhtmFrom=favorite_vacancy_list	Получил автоответ	Да	Отказ	Без объяснения причин 
87	09.07.2024	Аналитик данных BI	Pedant.ru	https://hh.ru/vacancy/102675979?hhtmFrom=favorite_vacancy_list		Да		
88	09.07.2024	Data Engineer (Поиск)	WILDBERRIES	https://hh.ru/vacancy/102770778?hhtmFrom=favorite_vacancy_list		Да		
89	09.07.2024	Junior продуктовый аналитик в команду ж/д	Туту.ру	https://hh.ru/vacancy/102128524?hhtmFrom=favorite_vacancy_list		Да		
90	09.07.2024	Автор студенческих работ по Программированию (удалённо)	ООО Умный Бренд	https://hh.ru/vacancy/103280178?hhtmFrom=favorite_vacancy_list	Да	Да	Приглашение	Зарегистрировался на платформе, чтобы делать проекты за деньги, по итогу вышла лажа
91	10.07.2024	РЕКРУТЕР В КОМАНДУ НАЙМА РЕПЕТИТОРОВ (JUN+)	ООО Фоксфорд	https://jobs.foxford.ru/vacancies/rekruter-v-komandu-nayma-repetitorov-jun-middle-		Да		
92	10.07.2024	СИСТЕМНЫЙ АНАЛИТИК DWH/АНАЛИТИК ДАННЫХ	ООО Фоксфорд	https://jobs.foxford.ru/vacancies/sistemnyy-analitik-dwh-analitik-dannyh		Да		
93	10.07.2024	МЕНЕДЖЕР СЛУЖБЫ ПОДДЕРЖКИ	ООО Фоксфорд	https://jobs.foxford.ru/vacancies/claims-support-manager		Да		
94								
95								
96								
97								
98								
99								
100								
